request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 on 2026-07-25. The projected balance stays above the INR 71300 minimum.
request_49,21945963.27,not_affordable,not_recommended,none,,reduce_to:event_4633:0,Do not make this payment within the forecast. No available plan keeps the IDR 20275700 minimum protected.
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,Pay INR 43900 on 2025-08-06. The projected balance stays above the INR 99700 minimum.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 on 2026-01-03. The projected balance stays above the IDR 7811000 minimum.
request_52,28870,affordable_now,full_payment,2024-06-05:28870,2024-06-05,none,Pay INR 28870 on 2024-06-05. The projected balance stays above the INR 41500 minimum.
request_53,1534.61,not_affordable,not_recommended,none,,reduce_to:event_4983:0,Do not make this payment within the forecast. No available plan keeps the USD 2100 minimum protected.
request_54,17441.6,not_affordable,not_recommended,none,,reduce_to:event_5000:0,Do not make this payment within the forecast. No available plan keeps the ZAR 37000 minimum protected.
request_55,183262.76,not_affordable,not_recommended,none,,reduce_to:event_5082:0,Do not make this payment within the forecast. No available plan keeps the INR 124300 minimum protected.
request_56,881.56,affordable_now,full_payment,2025-02-03:881.56,2025-02-03,none,Pay USD 881.56 on 2025-02-03. The projected balance stays above the USD 2100 minimum.
request_57,23186.36,not_affordable,not_recommended,none,,reduce_to:event_5265:0,Do not make this payment within the forecast. No available plan keeps the ZAR 42700 minimum protected.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Pay IDR 16226000 on 2024-12-07. The projected balance stays above the IDR 14433900 minimum.
request_59,140600,affordable_now,full_payment,2025-05-04:140600,2025-05-04,none,Pay INR 140600 on 2025-05-04. The projected balance stays above the INR 132600 minimum.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Pay USD 199.89 on 2026-01-06. The projected balance stays above the USD 400 minimum.
request_61,29062,affordable_now,full_payment,2024-03-03:29062,2024-03-03,none,Pay ZAR 29062 on 2024-03-03. The projected balance stays above the ZAR 36700 minimum.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Pay USD 404.23 on 2025-08-05. The projected balance stays above the USD 1300 minimum.
request_63,100463.75,affordable_with_plan,partial_payment,2026-07-07:100463.75|2026-09-17:243436.25,2026-09-17,reduce_to:event_5812:0,Pay INR 100463.75 now and the remaining amount by 2026-09-17.
request_64,62355.82,not_affordable,not_recommended,none,,reduce_to:event_5951:0,Do not make this payment within the forecast. No available plan keeps the INR 36100 minimum protected.
request_65,14121.77,affordable_with_plan,partial_payment,2025-11-06:14121.77|2025-11-25:40218.23,2025-11-25,reduce_to:event_6113:0,Pay ZAR 14121.77 now and the remaining amount by 2025-11-25.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Pay INR 22200 on 2026-04-03. The projected balance stays above the INR 80700 minimum.
request_67,890.54,affordable_later,wait,2024-11-15:2094,2024-11-15,reduce_to:event_6281:0,Wait until 2024-11-15; paying earlier would risk the USD 1200 minimum.
request_68,2091.6,affordable_now,full_payment,2025-02-07:2091.6,2025-02-07,none,Pay USD 2091.6 on 2025-02-07. The projected balance stays above the USD 1500 minimum.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Pay EUR 529.1 on 2026-01-04. The projected balance stays above the EUR 700 minimum.
request_70,101578.34,not_affordable,not_recommended,none,,reduce_to:event_6529:0,Do not make this payment within the forecast. No available plan keeps the INR 115000 minimum protected.
request_71,7692150,not_affordable,not_recommended,none,,reduce_to:event_6538:0,Do not make this payment within the forecast. No available plan keeps the IDR 8884800 minimum protected.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,Pay ZAR 11330 on 2026-07-05. The projected balance stays above the ZAR 12200 minimum.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Pay INR 71400 on 2023-01-20. The projected balance stays above the INR 103200 minimum.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Pay ZAR 5010 on 2025-08-04. The projected balance stays above the ZAR 21900 minimum.
request_75,28270,affordable_now,full_payment,2026-04-06:28270,2026-04-06,none,Pay ZAR 28270 on 2026-04-06. The projected balance stays above the ZAR 39000 minimum.
request_76,1608.8,not_affordable,not_recommended,none,,reduce_to:event_7005:0,Do not make this payment within the forecast. No available plan keeps the USD 1800 minimum protected.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Pay INR 60700 on 2025-11-05. The projected balance stays above the INR 82200 minimum.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Pay INR 50200 on 2025-10-02. The projected balance stays above the INR 55200 minimum.
request_79,1115.08,affordable_with_plan,partial_payment,2024-09-04:1115.08|2024-11-01:1036.52,2024-11-01,reduce_to:event_7312:0,Pay EUR 1115.08 now and the remaining amount by 2024-11-01.
request_80,158861.01,not_affordable,not_recommended,none,,reduce_to:event_7529:0,Do not make this payment within the forecast. No available plan keeps the INR 121300 minimum protected.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Pay USD 2076 on 2026-07-03. The projected balance stays above the USD 1600 minimum.
request_82,1011.4,not_affordable,not_recommended,none,,none,Do not make this payment within the forecast. No available plan keeps the USD 1100 minimum protected.
request_83,31375.17,not_affordable,not_recommended,none,,reduce_to:event_7812:0,Do not make this payment within the forecast. No available plan keeps the INR 37800 minimum protected.
request_84,62856.13,not_affordable,not_recommended,none,,reduce_to:event_7834:0,Do not make this payment within the forecast. No available plan keeps the INR 91300 minimum protected.
request_85,2879577.54,not_affordable,not_recommended,none,,reduce_to:event_8034:0,Do not make this payment within the forecast. No available plan keeps the IDR 6396300 minimum protected.
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,Pay INR 46300 on 2025-08-03. The projected balance stays above the INR 84900 minimum.
request_87,104869.51,not_affordable,not_recommended,none,,reduce_to:event_8140:0,Do not make this payment within the forecast. No available plan keeps the INR 185900 minimum protected.
request_88,17155.62,not_affordable,not_recommended,none,,reduce_to:event_8301:0,Do not make this payment within the forecast. No available plan keeps the ZAR 25800 minimum protected.
request_89,13756000,affordable_now,full_payment,2025-11-04:13756000,2025-11-04,none,Pay IDR 13756000 on 2025-11-04. The projected balance stays above the IDR 12534700 minimum.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Pay ZAR 2560 on 2026-07-06. The projected balance stays above the ZAR 7600 minimum.
request_91,1927.2,affordable_now,full_payment,2024-09-03:1927.2,2024-09-03,none,Pay EUR 1927.2 on 2024-09-03. The projected balance stays above the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Pay ZAR 34034 on 2025-02-05. The projected balance stays above the ZAR 28100 minimum.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Pay USD 1729.2 on 2026-04-07. The projected balance stays above the USD 1900 minimum.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 on 2024-12-04. The projected balance stays above the EUR 600 minimum.
request_95,147737.8,not_affordable,not_recommended,none,,reduce_to:event_8819:0,Do not make this payment within the forecast. No available plan keeps the INR 145500 minimum protected.
request_96,90200,affordable_now,full_payment,2026-01-03:90200,2026-01-03,none,Pay INR 90200 on 2026-01-03. The projected balance stays above the INR 56500 minimum.
request_97,10301.09,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-05-20,reduce_to:event_9031:0,Use 3 supplied installments. This keeps the ZAR 29700 minimum protected through the plan.
request_98,18615.85,not_affordable,not_recommended,none,,reduce_to:event_9079:0,Do not make this payment within the forecast. No available plan keeps the ZAR 30000 minimum protected.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Pay ZAR 18062 on 2026-07-04. The projected balance stays above the ZAR 49100 minimum.
request_100,36102.23,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-08-14,reduce_to:event_9239:0,Use 3 supplied installments. This keeps the ZAR 32500 minimum protected through the plan.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Pay INR 143500 on 2025-11-03. The projected balance stays above the INR 187400 minimum.
request_102,1716,affordable_now,full_payment,2026-04-05:1716,2026-04-05,none,Pay EUR 1716 on 2026-04-05. The projected balance stays above the EUR 900 minimum.
request_103,42511.45,not_affordable,not_recommended,none,,reduce_to:event_9502:0,Do not make this payment within the forecast. No available plan keeps the INR 125500 minimum protected.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Pay ZAR 17204 on 2025-02-04. The projected balance stays above the ZAR 24700 minimum.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Pay INR 53500 on 2026-06-08. The projected balance stays above the INR 73900 minimum.
request_106,1473.71,not_affordable,not_recommended,none,,reduce_to:event_9863:0,Do not make this payment within the forecast. No available plan keeps the EUR 1200 minimum protected.
request_107,2534.4,affordable_now,full_payment,2025-05-05:2534.4,2025-05-05,none,Pay EUR 2534.4 on 2025-05-05. The projected balance stays above the EUR 1600 minimum.
request_108,9102.03,not_affordable,not_recommended,none,,reduce_to:event_10037:0,Do not make this payment within the forecast. No available plan keeps the ZAR 24100 minimum protected.
request_109,1329.46,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-19,reduce_to:event_10049:0,Use 3 supplied installments. This keeps the EUR 1700 minimum protected through the plan.
request_110,22352,affordable_now,full_payment,2025-08-06:22352,2025-08-06,none,Pay ZAR 22352 on 2025-08-06. The projected balance stays above the ZAR 11200 minimum.
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,Pay IDR 16625000 on 2026-04-03. The projected balance stays above the IDR 23022800 minimum.
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,Pay EUR 271.7 on 2024-06-05. The projected balance stays above the EUR 500 minimum.
request_113,36500,affordable_now,full_payment,2026-09-04:36500,2026-09-04,none,Pay INR 36500 on 2026-09-04. The projected balance stays above the INR 82300 minimum.
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,Pay INR 65300 on 2026-01-04. The projected balance stays above the INR 113400 minimum.
request_115,29057.72,not_affordable,not_recommended,none,,reduce_to:event_10692:0,Do not make this payment within the forecast. No available plan keeps the INR 38800 minimum protected.
request_116,63997.28,not_affordable,not_recommended,none,,reduce_to:event_10789:0,Do not make this payment within the forecast. No available plan keeps the INR 80300 minimum protected.
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,Pay EUR 880 on 2026-07-05. The projected balance stays above the EUR 1000 minimum.
request_118,738.1,affordable_now,full_payment,2024-12-07:738.1,2024-12-07,none,Pay EUR 738.1 on 2024-12-07. The projected balance stays above the EUR 600 minimum.
request_119,136968.05,not_affordable,not_recommended,none,,reduce_to:event_11054:0,Do not make this payment within the forecast. No available plan keeps the INR 151200 minimum protected.
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,Pay IDR 7714000 on 2026-04-06. The projected balance stays above the IDR 20050300 minimum.
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,Pay USD 633.6 on 2024-03-03. The projected balance stays above the USD 800 minimum.
request_122,20558000,affordable_now,full_payment,2025-08-05:20558000,2025-08-05,none,Pay IDR 20558000 on 2025-08-05. The projected balance stays above the IDR 12588500 minimum.
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,Pay IDR 4076000 on 2026-01-07. The projected balance stays above the IDR 18091200 minimum.
request_124,2206.59,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-08-12,reduce_to:event_11479:0,Use 3 supplied installments. This keeps the EUR 1600 minimum protected through the plan.
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,Pay ZAR 6468 on 2025-11-06. The projected balance stays above the ZAR 11300 minimum.
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,Pay INR 159600 on 2026-07-03. The projected balance stays above the INR 129700 minimum.
request_127,23980,affordable_now,full_payment,2024-09-05:23980,2024-09-05,none,Pay ZAR 23980 on 2024-09-05. The projected balance stays above the ZAR 41000 minimum.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,Pay ZAR 25168 on 2025-02-07. The projected balance stays above the ZAR 42600 minimum.
request_129,315,not_affordable,not_recommended,none,,reduce_to:event_11861:0,Do not make this payment within the forecast. No available plan keeps the USD 800 minimum protected.
request_130,1018.02,not_affordable,not_recommended,none,,reduce_to:event_12022:0,Do not make this payment within the forecast. No available plan keeps the USD 1400 minimum protected.
request_131,1855.2,affordable_now,full_payment,2025-05-03:1855.2,2025-05-03,none,Pay USD 1855.2 on 2025-05-03. The projected balance stays above the USD 1100 minimum.
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,Pay USD 379.86 on 2026-01-05. The projected balance stays above the USD 1100 minimum.
request_133,15770000,affordable_now,full_payment,2024-03-07:15770000,2024-03-07,none,Pay IDR 15770000 on 2024-03-07. The projected balance stays above the IDR 9986200 minimum.
request_134,12383250,affordable_later,wait,2025-10-15:21831000,2025-10-15,reduce_to:event_12286:0,Wait until 2025-10-15; paying earlier would risk the IDR 15902500 minimum.
request_135,304.8,affordable_now,full_payment,2026-07-06:304.8,2026-07-06,none,Pay USD 304.8 on 2026-07-06. The projected balance stays above the USD 500 minimum.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,Pay USD 560.4 on 2024-06-03. The projected balance stays above the USD 1100 minimum.
request_137,73499.38,not_affordable,not_recommended,none,,reduce_to:event_12574:0,Do not make this payment within the forecast. No available plan keeps the INR 71800 minimum protected.
request_138,1256.94,affordable_now,full_payment,2026-04-07:1256.94,2026-04-07,reduce_to:event_12658:72.97,Pay EUR 1256.94 on 2026-04-07. The projected balance stays above the EUR 2300 minimum.
request_139,2291.84,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-11-08,reduce_to:event_12713:0,Use 3 supplied installments. This keeps the USD 1500 minimum protected through the plan.
request_140,12425.7,not_affordable,not_recommended,none,,reduce_to:event_12906:0,Do not make this payment within the forecast. No available plan keeps the ZAR 21600 minimum protected.
request_141,54335,affordable_with_plan,partial_payment,2026-01-03:54335|2026-02-12:117265,2026-02-12,reduce_to:event_12916:0,Pay INR 54335 now and the remaining amount by 2026-02-12.
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,Pay USD 1263.6 on 2024-12-05. The projected balance stays above the USD 1700 minimum.
request_143,9063.79,not_affordable,not_recommended,none,,reduce_to:event_13203:0,Do not make this payment within the forecast. No available plan keeps the ZAR 11300 minimum protected.
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 on 2026-07-04. The projected balance stays above the USD 600 minimum.
request_145,114055.44,affordable_with_plan,partial_payment,2024-03-06:114055.44|2024-05-26:103344.56,2024-05-26,reduce_to:event_13409:0,Pay INR 114055.44 now and the remaining amount by 2024-05-26.
request_146,81990,affordable_with_plan,partial_payment,2025-08-03:81990|2025-10-17:367410,2025-10-17,reduce_to:event_13418:0,Pay INR 81990 now and the remaining amount by 2025-10-17.
request_147,817.49,affordable_with_plan,partial_payment,2026-04-05:817.49|2026-06-07:312.21,2026-06-07,reduce_to:event_13511:0,Pay EUR 817.49 now and the remaining amount by 2026-06-07.
request_148,14481.89,affordable_with_plan,partial_payment,2024-06-07:14481.89|2024-08-18:7760.11,2024-08-18,reduce_to:event_13649:0,Pay ZAR 14481.89 now and the remaining amount by 2024-08-18.
request_149,36652,affordable_now,full_payment,2025-11-04:36652,2025-11-04,none,Pay ZAR 36652 on 2025-11-04. The projected balance stays above the ZAR 42100 minimum.
request_150,496.1,affordable_now,full_payment,2026-01-06:496.1,2026-01-06,none,Pay EUR 496.1 on 2026-01-06. The projected balance stays above the EUR 700 minimum.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,Pay IDR 26999000 on 2024-09-03. The projected balance stays above the IDR 31633600 minimum.
request_152,13882,affordable_now,full_payment,2025-02-05:13882,2025-02-05,none,Pay ZAR 13882 on 2025-02-05. The projected balance stays above the ZAR 11900 minimum.
request_153,517.6,not_affordable,not_recommended,none,,reduce_to:event_14031:0,Do not make this payment within the forecast. No available plan keeps the USD 1400 minimum protected.
request_154,1625.8,affordable_now,full_payment,2024-12-04:1625.8,2024-12-04,none,Pay EUR 1625.8 on 2024-12-04. The projected balance stays above the EUR 1300 minimum.
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,Pay INR 112500 on 2025-05-06. The projected balance stays above the INR 56300 minimum.
request_156,15121.27,not_affordable,not_recommended,none,,reduce_to:event_14395:0,Do not make this payment within the forecast. No available plan keeps the ZAR 26900 minimum protected.
request_157,10829050,affordable_with_plan,partial_payment,2024-03-05:10829050|2024-05-15:12673950,2024-05-15,reduce_to:event_14405:0,Pay IDR 10829050 now and the remaining amount by 2024-05-15.
request_158,242600,affordable_now,full_payment,2025-08-07:242600,2025-08-07,none,Pay INR 242600 on 2025-08-07. The projected balance stays above the INR 131400 minimum.
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,Pay ZAR 13398 on 2026-01-04. The projected balance stays above the ZAR 8700 minimum.
request_160,929.18,affordable_with_plan,partial_payment,2024-06-06:929.18|2024-08-20:317.12,2024-08-20,reduce_to:event_14735:0,Pay EUR 929.18 now and the remaining amount by 2024-08-20.
request_161,18580358.75,not_affordable,not_recommended,none,,reduce_to:event_14832:0,Do not make this payment within the forecast. No available plan keeps the IDR 23010400 minimum protected.
request_162,10116399.71,not_affordable,not_recommended,none,,reduce_to:event_14917:0,Do not make this payment within the forecast. No available plan keeps the IDR 24161100 minimum protected.
request_163,19304000,affordable_now,full_payment,2024-09-07:19304000,2024-09-07,none,Pay IDR 19304000 on 2024-09-07. The projected balance stays above the IDR 26728700 minimum.
request_164,27018000,affordable_now,full_payment,2025-02-04:27018000,2025-02-04,none,Pay IDR 27018000 on 2025-02-04. The projected balance stays above the IDR 29550500 minimum.
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,Pay INR 80600 on 2026-04-06. The projected balance stays above the INR 95000 minimum.
request_166,2907.6,affordable_now,full_payment,2024-12-03:2907.6,2024-12-03,none,Pay USD 2907.6 on 2024-12-03. The projected balance stays above the USD 1700 minimum.
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,Pay ZAR 43802 on 2025-05-05. The projected balance stays above the ZAR 31200 minimum.
request_168,49380,affordable_now,full_payment,2026-01-07:49380,2026-01-07,none,Pay INR 49380 on 2026-01-07. The projected balance stays above the INR 114400 minimum.
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,Pay ZAR 41976 on 2024-03-04. The projected balance stays above the ZAR 18700 minimum.
request_170,36936000,affordable_now,full_payment,2025-08-06:36936000,2025-08-06,none,Pay IDR 36936000 on 2025-08-06. The projected balance stays above the IDR 24715800 minimum.
request_171,348.69,not_affordable,not_recommended,none,,reduce_to:event_15733:0,Do not make this payment within the forecast. No available plan keeps the EUR 500 minimum protected.
request_172,10200,affordable_now,full_payment,2024-06-05:10200,2024-06-05,none,Pay ZAR 10200 on 2024-06-05. The projected balance stays above the ZAR 27200 minimum.
request_173,88477.33,affordable_with_plan,partial_payment,2025-11-07:88477.33|2026-01-17:24522.67,2026-01-17,reduce_to:event_15927:0,Pay INR 88477.33 now and the remaining amount by 2026-01-17.
request_174,1146.2,affordable_now,full_payment,2026-04-04:1146.2,2026-04-04,none,Pay EUR 1146.2 on 2026-04-04. The projected balance stays above the EUR 700 minimum.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,Pay EUR 2346.3 on 2024-09-06. The projected balance stays above the EUR 1700 minimum.
request_176,718.83,not_affordable,not_recommended,none,,reduce_to:event_16157:0,Do not make this payment within the forecast. No available plan keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,Pay USD 1017.6 on 2026-01-05. The projected balance stays above the USD 1300 minimum.
request_178,2938.1,affordable_now,full_payment,2024-12-07:2938.1,2024-12-07,none,Pay EUR 2938.1 on 2024-12-07. The projected balance stays above the EUR 1400 minimum.
request_179,39883574.03,not_affordable,not_recommended,none,,reduce_to:event_16475:0,Do not make this payment within the forecast. No available plan keeps the IDR 41430800 minimum protected.
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,Pay INR 66500 on 2026-07-06. The projected balance stays above the INR 37300 minimum.
request_181,1378,not_affordable,not_recommended,none,,reduce_to:event_16594:0,Do not make this payment within the forecast. No available plan keeps the USD 2000 minimum protected.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,Pay ZAR 65714 on 2025-08-05. The projected balance stays above the ZAR 31100 minimum.
request_183,26866000,affordable_now,full_payment,2026-04-07:26866000,2026-04-07,none,Pay IDR 26866000 on 2026-04-07. The projected balance stays above the IDR 11878300 minimum.
request_184,50560,not_affordable,not_recommended,none,,reduce_to:event_16903:0,Do not make this payment within the forecast. No available plan keeps the INR 110800 minimum protected.
request_185,866.91,affordable_with_plan,partial_payment,2025-11-06:866.91|2026-01-15:390.39,2026-01-15,reduce_to:event_17114:0,Pay EUR 866.91 now and the remaining amount by 2026-01-15.
request_186,24676.71,not_affordable,not_recommended,none,,reduce_to:event_17128:0,Do not make this payment within the forecast. No available plan keeps the ZAR 22000 minimum protected.
request_187,75551.73,affordable_with_plan,partial_payment,2024-09-05:75551.73|2024-11-15:111948.27,2024-11-15,reduce_to:event_17297:0,Pay INR 75551.73 now and the remaining amount by 2024-11-15.
request_188,631.91,not_affordable,not_recommended,none,,reduce_to:event_17389:0,Do not make this payment within the forecast. No available plan keeps the EUR 900 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,Pay EUR 488.4 on 2026-07-04. The projected balance stays above the EUR 400 minimum.
request_190,1651.15,affordable_with_plan,partial_payment,2024-12-06:1651.15|2025-02-15:906.35,2025-02-15,reduce_to:event_17574:0,Pay EUR 1651.15 now and the remaining amount by 2025-02-15.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,Pay EUR 664.4 on 2025-05-03. The projected balance stays above the EUR 500 minimum.
request_192,432.23,not_affordable,not_recommended,none,,reduce_to:event_17729:0,Do not make this payment within the forecast. No available plan keeps the USD 1000 minimum protected.
request_193,398.37,not_affordable,not_recommended,none,,reduce_to:event_17835:0,Do not make this payment within the forecast. No available plan keeps the EUR 1000 minimum protected.
request_194,99855.71,not_affordable,not_recommended,none,,reduce_to:event_17861:0,Do not make this payment within the forecast. No available plan keeps the INR 113600 minimum protected.
request_195,1170.4,affordable_now,full_payment,2026-01-06:1170.4,2026-01-06,none,Pay EUR 1170.4 on 2026-01-06. The projected balance stays above the EUR 700 minimum.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,Pay EUR 762.3 on 2024-06-03. The projected balance stays above the EUR 500 minimum.
request_197,50939000,affordable_now,full_payment,2025-11-05:50939000,2025-11-05,none,Pay IDR 50939000 on 2025-11-05. The projected balance stays above the IDR 26245900 minimum.
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,Pay INR 185800 on 2026-07-07. The projected balance stays above the INR 124300 minimum.
request_199,23674000,affordable_now,full_payment,2024-09-04:23674000,2024-09-04,none,Pay IDR 23674000 on 2024-09-04. The projected balance stays above the IDR 25359500 minimum.
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,Pay IDR 21717000 on 2025-02-06. The projected balance stays above the IDR 20114600 minimum.
request_201,23997000,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,Pay IDR 23997000 on 2026-04-03. The projected balance stays above the IDR 17304500 minimum.
